ID,Name
grid.433602.0,Office of Juvenile Justice and Delinquency Prevention (OJJDP)
grid.467629.8,Office of Legislative & Public Affairs (OLPA)
grid.467644.3,Office of Multidisciplinary Activities (OMA)
grid.482851.2,Office of Naval Research (ONR)
grid.453031.0,Office of Nuclear Energy (NE)
grid.453025.5,Office of Nuclear Physics (NP)
grid.457846.c,Office of Polar Programs (NSF PLR)
grid.467635.5,Office of Public Health Preparedness and Response (OPHPR)
grid.453216.7,Office of Science (DOE SC)
grid.483892.c,Office of Special Education and Rehabilitative Services (OSERS)
grid.457898.f,Office of the Director (NSF OD)
grid.453125.4,Office of the Director (OD)
grid.488591.9,Office of the Director of National Intelligence (ODNI)
grid.473761.0,Office of the Secretary of Defense (OSD)
grid.467626.7,"Polar Environment, Safety and Health Section (PESH)"
grid.458401.c,President's Emergency Plan for AIDS Relief (PEPFAR)
grid.458379.4,Quality Enhancement Research Initiative (QUERI)
grid.453134.4,Rehabilitation Research and Development Service (JRRD)
grid.467664.1,Savannah River Operations Office (DOE-SR)
grid.457927.a,SBE Office of Multidisciplinary Activities (NSF SMA)
grid.457924.9,Science of Learning Centers Program Coordinating Committee (NSF SLC-CC)
grid.453092.9,Small Business Administration (SBA)
grid.413730.2,Substance Abuse and Mental Health Services Administration (SAMHSA)
grid.453220.2,Telemedicine & Advanced Technology Research Center (TATRC)
grid.265436.0,Uniformed Services University of the Health Sciences (USUHS)
grid.420285.9,United States Agency for International Development (USAID)
grid.453002.0,United States Air Force (USAF)
grid.265457.7,United States Air Force Academy (USAFA)
grid.507554.6,United States Air Force Office of Scientific Research (AFOSR)
grid.417730.6,United States Air Force Research Laboratory (AFRL)
grid.420176.6,United States Army (USA)
grid.431335.3,United States Army Corps of Engineers (CoE)
grid.481489.8,United States Army Medical Command (MEDCOM)
grid.420210.5,United States Army Medical Research and Development Command (USAMRMC)
grid.416900.a,United States Army Medical Research Institute of Infectious Diseases (USAMRIID)
grid.420282.e,United States Army Research Laboratory (ARL)
grid.507553.1,United States Army Research Office (US ARO)
grid.418402.b,"United States Army Research, Development and Engineering Command (RDECOM)"
grid.417548.b,United States Department of Agriculture (USDA)
grid.239119.1,United States Department of Commerce (USDoC)
grid.420391.d,United States Department of Defense (USDOD )
grid.419881.d,United States Department of Education (DoED)
grid.85084.31,United States Department of Energy (DOE)
grid.27235.31,United States Department of Health and Human Services (DHHS)
grid.433574.2,United States Department of Homeland Security (DHS)
grid.420410.3,United States Department of Housing and Urban Development (HUD)
grid.423379.8,United States Department of Justice (DOJ)
grid.495456.f,United States Department of the Air Force (DAF)
grid.427904.c,United States Department of the Army (DA)
grid.239134.e,United States Department of the Interior (DOI)
grid.420434.5,United States Department of the Navy (DON)
grid.419882.e,United States Department of Transportation (USDOT)
grid.418356.d,United States Department of Veterans Affairs (VA )
grid.462979.7,United States Fish and Wildlife Service (FWS)
grid.417587.8,United States Food and Drug Administration (FDA )
grid.2865.9,United States Geological Survey (USGS)
grid.497574.c,United States Marine Corps (USMC)
grid.280285.5,United States National Library of Medicine (NLM)
grid.431418.b,United States Nuclear Regulatory Commission (NRC)
grid.417684.8,United States Public Health Service (USPHS)
grid.472551.0,US Forest Service (USFS)
grid.483017.9,USDA Rural Development (USDA RD)
grid.453027.7,Vehicle Technologies Office (Vehicle Technologies Office)
grid.507680.c,Walter Reed Army Institute of Research (WRAIR)
grid.453840.e,Women's Health Initiative (WHI)
